DATE,State,UR
1996-04-30,California,7.5
1996-05-31,California,7.4
1996-06-30,California,7.3
1996-07-31,California,7.1
1996-08-31,California,7
1996-09-30,California,7
1996-10-31,California,6.9
1996-11-30,California,6.9
1996-12-31,California,6.9
1997-01-31,California,6.8
1997-02-28,California,6.7
1997-03-31,California,6.6
1997-04-30,California,6.5
1997-05-31,California,6.4
1997-06-30,California,6.3
1997-07-31,California,6.3
1997-08-31,California,6.2
1997-09-30,California,6.2
1997-10-31,California,6.1
1997-11-30,California,6.1
1997-12-31,California,6
1998-01-31,California,6
1998-02-28,California,6
1998-03-31,California,6
1998-04-30,California,6
1998-05-31,California,5.9
1998-06-30,California,5.9
1998-07-31,California,6
1998-08-31,California,6
1998-09-30,California,5.9
1998-10-31,California,5.9
1998-11-30,California,5.8
1998-12-31,California,5.7
1999-01-31,California,5.6
1999-02-28,California,5.5
1999-03-31,California,5.4
1999-04-30,California,5.4
1999-05-31,California,5.3
1999-06-30,California,5.2
1999-07-31,California,5.2
1999-08-31,California,5.1
1999-09-30,California,5.1
1999-10-31,California,5.1
1999-11-30,California,5
1999-12-31,California,5
2000-01-31,California,5
2000-02-29,California,5
2000-03-31,California,5
2000-04-30,California,5.1
2000-05-31,California,5.1
2000-06-30,California,5
2000-07-31,California,5
2000-08-31,California,4.9
2000-09-30,California,4.9
2000-10-31,California,4.8
2000-11-30,California,4.7
2000-12-31,California,4.7
2001-01-31,California,4.8
2001-02-28,California,4.8
2001-03-31,California,4.9
2001-04-30,California,5
2001-05-31,California,5.1
2001-06-30,California,5.3
2001-07-31,California,5.4
2001-08-31,California,5.6
2001-09-30,California,5.9
2001-10-31,California,6.1
2001-11-30,California,6.3
2001-12-31,California,6.4
2002-01-31,California,6.5
2002-02-28,California,6.6
2002-03-31,California,6.6
2002-04-30,California,6.7
2002-05-31,California,6.7
2002-06-30,California,6.7
2002-07-31,California,6.7
2002-08-31,California,6.7
2002-09-30,California,6.7
2002-10-31,California,6.7
2002-11-30,California,6.8
2002-12-31,California,6.8
2003-01-31,California,6.8
2003-02-28,California,6.8
2003-03-31,California,6.8
2003-04-30,California,6.9
2003-05-31,California,6.9
2003-06-30,California,6.9
2003-07-31,California,6.9
2003-08-31,California,6.9
2003-09-30,California,6.8
2003-10-31,California,6.7
2003-11-30,California,6.6
2003-12-31,California,6.6
2004-01-31,California,6.5
2004-02-29,California,6.5
2004-03-31,California,6.4
2004-04-30,California,6.4
2004-05-31,California,6.3
2004-06-30,California,6.2
2004-07-31,California,6.1
2004-08-31,California,6
2004-09-30,California,6
2004-10-31,California,5.9
2004-11-30,California,5.9
2004-12-31,California,5.8
2005-01-31,California,5.7
2005-02-28,California,5.7
2005-03-31,California,5.6
2005-04-30,California,5.5
2005-05-31,California,5.4
2005-06-30,California,5.3
2005-07-31,California,5.3
2005-08-31,California,5.3
2005-09-30,California,5.2
2005-10-31,California,5.2
2005-11-30,California,5.1
2005-12-31,California,5.1
2006-01-31,California,5
2006-02-28,California,5
2006-03-31,California,4.9
2006-04-30,California,4.9
2006-05-31,California,4.9
2006-06-30,California,4.9
2006-07-31,California,4.9
2006-08-31,California,4.9
2006-09-30,California,4.9
2006-10-31,California,4.9
2006-11-30,California,4.9
2006-12-31,California,4.9
2007-01-31,California,5
2007-02-28,California,5
2007-03-31,California,5.1
2007-04-30,California,5.1
2007-05-31,California,5.2
2007-06-30,California,5.3
2007-07-31,California,5.4
2007-08-31,California,5.5
2007-09-30,California,5.6
2007-10-31,California,5.8
2007-11-30,California,5.9
2007-12-31,California,6
2008-01-31,California,6.1
2008-02-29,California,6.2
2008-03-31,California,6.4
2008-04-30,California,6.6
2008-05-31,California,6.9
2008-06-30,California,7.2
2008-07-31,California,7.5
2008-08-31,California,7.8
2008-09-30,California,8.1
2008-10-31,California,8.5
2008-11-30,California,8.9
2008-12-31,California,9.3
2009-01-31,California,9.8
2009-02-28,California,10.3
2009-03-31,California,10.6
2009-04-30,California,10.9
2009-05-31,California,11.2
2009-06-30,California,11.3
2009-07-31,California,11.5
2009-08-31,California,11.6
2009-09-30,California,11.8
2009-10-31,California,11.9
2009-11-30,California,12
2009-12-31,California,12.1
2010-01-31,California,12.1
2010-02-28,California,12.2
2010-03-31,California,12.2
2010-04-30,California,12.2
2010-05-31,California,12.1
2010-06-30,California,12.1
2010-07-31,California,12.1
2010-08-31,California,12.1
2010-09-30,California,12.2
2010-10-31,California,12.2
2010-11-30,California,12.1
2010-12-31,California,12.1
2011-01-31,California,12
2011-02-28,California,11.9
2011-03-31,California,11.8
2011-04-30,California,11.7
2011-05-31,California,11.7
2011-06-30,California,11.7
2011-07-31,California,11.7
2011-08-31,California,11.6
2011-09-30,California,11.5
2011-10-31,California,11.3
2011-11-30,California,11.2
2011-12-31,California,11
2012-01-31,California,10.9
2012-02-29,California,10.8
2012-03-31,California,10.7
2012-04-30,California,10.7
2012-05-31,California,10.6
2012-06-30,California,10.4
2012-07-31,California,10.3
2012-08-31,California,10.1
2012-09-30,California,9.9
2012-10-31,California,9.8
2012-11-30,California,9.7
2012-12-31,California,9.6
2013-01-31,California,9.5
2013-02-28,California,9.3
2013-03-31,California,9.2
2013-04-30,California,9.1
2013-05-31,California,9
2013-06-30,California,8.9
2013-07-31,California,8.8
2013-08-31,California,8.7
2013-09-30,California,8.6
2013-10-31,California,8.5
2013-11-30,California,8.3
2013-12-31,California,8.2
2014-01-31,California,8.1
2014-02-28,California,8
2014-03-31,California,7.9
2014-04-30,California,7.7
2014-05-31,California,7.6
2014-06-30,California,7.5
2014-07-31,California,7.4
2014-08-31,California,7.3
2014-09-30,California,7.2
2014-10-31,California,7.1
2014-11-30,California,7
2014-12-31,California,6.9
2015-01-31,California,6.8
2015-02-28,California,6.6
2015-03-31,California,6.5
2015-04-30,California,6.4
2015-05-31,California,6.3
2015-06-30,California,6.2
2015-07-31,California,6.1
2015-08-31,California,6
2015-09-30,California,5.9
2015-10-31,California,5.8
2015-11-30,California,5.8
2015-12-31,California,5.7
2016-01-31,California,5.7
2016-02-29,California,5.6
2016-03-31,California,5.6
2016-04-30,California,5.5
2016-05-31,California,5.5
2016-06-30,California,5.5
2016-07-31,California,5.4
2016-08-31,California,5.4
2016-09-30,California,5.3
2016-10-31,California,5.3
2016-11-30,California,5.3
2016-12-31,California,5.2
2017-01-31,California,5.2
2017-02-28,California,5
2017-03-31,California,4.9
2017-04-30,California,4.8
2017-05-31,California,4.7
2017-06-30,California,4.7
2017-07-31,California,4.8
2017-08-31,California,5.1
2017-09-30,California,5.1
2017-10-31,California,4.9
2017-11-30,California,4.6
2017-12-31,California,4.3
1996-04-30,District of Columbia,8.7
1996-05-31,District of Columbia,8.7
1996-06-30,District of Columbia,8.7
1996-07-31,District of Columbia,8.6
1996-08-31,District of Columbia,8.4
1996-09-30,District of Columbia,8.2
1996-10-31,District of Columbia,8.1
1996-11-30,District of Columbia,7.9
1996-12-31,District of Columbia,7.8
1997-01-31,District of Columbia,7.7
1997-02-28,District of Columbia,7.6
1997-03-31,District of Columbia,7.6
1997-04-30,District of Columbia,7.6
1997-05-31,District of Columbia,7.7
1997-06-30,District of Columbia,7.8
1997-07-31,District of Columbia,8
1997-08-31,District of Columbia,8.1
1997-09-30,District of Columbia,8.3
1997-10-31,District of Columbia,8.4
1997-11-30,District of Columbia,8.6
1997-12-31,District of Columbia,8.7
1998-01-31,District of Columbia,8.8
1998-02-28,District of Columbia,8.9
1998-03-31,District of Columbia,8.8
1998-04-30,District of Columbia,8.8
1998-05-31,District of Columbia,8.7
1998-06-30,District of Columbia,8.6
1998-07-31,District of Columbia,8.5
1998-08-31,District of Columbia,8.4
1998-09-30,District of Columbia,8.2
1998-10-31,District of Columbia,8
1998-11-30,District of Columbia,7.8
1998-12-31,District of Columbia,7.5
1999-01-31,District of Columbia,7.2
1999-02-28,District of Columbia,7
1999-03-31,District of Columbia,6.8
1999-04-30,District of Columbia,6.7
1999-05-31,District of Columbia,6.5
1999-06-30,District of Columbia,6.4
1999-07-31,District of Columbia,6.3
1999-08-31,District of Columbia,6.1
1999-09-30,District of Columbia,6
1999-10-31,District of Columbia,5.9
1999-11-30,District of Columbia,5.8
1999-12-31,District of Columbia,5.7
2000-01-31,District of Columbia,5.6
2000-02-29,District of Columbia,5.5
2000-03-31,District of Columbia,5.4
2000-04-30,District of Columbia,5.4
2000-05-31,District of Columbia,5.4
2000-06-30,District of Columbia,5.4
2000-07-31,District of Columbia,5.5
2000-08-31,District of Columbia,5.6
2000-09-30,District of Columbia,5.7
2000-10-31,District of Columbia,5.8
2000-11-30,District of Columbia,5.9
2000-12-31,District of Columbia,6
2001-01-31,District of Columbia,6.1
2001-02-28,District of Columbia,6.1
2001-03-31,District of Columbia,6.1
2001-04-30,District of Columbia,6.2
2001-05-31,District of Columbia,6.3
2001-06-30,District of Columbia,6.3
2001-07-31,District of Columbia,6.4
2001-08-31,District of Columbia,6.5
2001-09-30,District of Columbia,6.5
2001-10-31,District of Columbia,6.6
2001-11-30,District of Columbia,6.6
2001-12-31,District of Columbia,6.6
2002-01-31,District of Columbia,6.6
2002-02-28,District of Columbia,6.6
2002-03-31,District of Columbia,6.5
2002-04-30,District of Columbia,6.5
2002-05-31,District of Columbia,6.4
2002-06-30,District of Columbia,6.3
2002-07-31,District of Columbia,6.3
2002-08-31,District of Columbia,6.2
2002-09-30,District of Columbia,6.2
2002-10-31,District of Columbia,6.3
2002-11-30,District of Columbia,6.4
2002-12-31,District of Columbia,6.5
2003-01-31,District of Columbia,6.6
2003-02-28,District of Columbia,6.7
2003-03-31,District of Columbia,6.8
2003-04-30,District of Columbia,6.9
2003-05-31,District of Columbia,6.9
2003-06-30,District of Columbia,6.9
2003-07-31,District of Columbia,6.9
2003-08-31,District of Columbia,6.9
2003-09-30,District of Columbia,6.9
2003-10-31,District of Columbia,6.8
2003-11-30,District of Columbia,6.8
2003-12-31,District of Columbia,6.9
2004-01-31,District of Columbia,7
2004-02-29,District of Columbia,7.2
2004-03-31,District of Columbia,7.4
2004-04-30,District of Columbia,7.6
2004-05-31,District of Columbia,7.8
2004-06-30,District of Columbia,7.9
2004-07-31,District of Columbia,8.1
2004-08-31,District of Columbia,8.2
2004-09-30,District of Columbia,8.2
2004-10-31,District of Columbia,8.2
2004-11-30,District of Columbia,8
2004-12-31,District of Columbia,7.8
2005-01-31,District of Columbia,7.6
2005-02-28,District of Columbia,7.3
2005-03-31,District of Columbia,7.1
2005-04-30,District of Columbia,6.8
2005-05-31,District of Columbia,6.6
2005-06-30,District of Columbia,6.3
2005-07-31,District of Columbia,6.1
2005-08-31,District of Columbia,5.9
2005-09-30,District of Columbia,5.8
2005-10-31,District of Columbia,5.7
2005-11-30,District of Columbia,5.7
2005-12-31,District of Columbia,5.7
2006-01-31,District of Columbia,5.7
2006-02-28,District of Columbia,5.8
2006-03-31,District of Columbia,5.8
2006-04-30,District of Columbia,5.8
2006-05-31,District of Columbia,5.8
2006-06-30,District of Columbia,5.9
2006-07-31,District of Columbia,5.9
2006-08-31,District of Columbia,5.8
2006-09-30,District of Columbia,5.8
2006-10-31,District of Columbia,5.8
2006-11-30,District of Columbia,5.7
2006-12-31,District of Columbia,5.7
2007-01-31,District of Columbia,5.6
2007-02-28,District of Columbia,5.5
2007-03-31,District of Columbia,5.5
2007-04-30,District of Columbia,5.5
2007-05-31,District of Columbia,5.5
2007-06-30,District of Columbia,5.5
2007-07-31,District of Columbia,5.5
2007-08-31,District of Columbia,5.5
2007-09-30,District of Columbia,5.6
2007-10-31,District of Columbia,5.6
2007-11-30,District of Columbia,5.6
2007-12-31,District of Columbia,5.7
2008-01-31,District of Columbia,5.7
2008-02-29,District of Columbia,5.8
2008-03-31,District of Columbia,5.9
2008-04-30,District of Columbia,6
2008-05-31,District of Columbia,6.1
2008-06-30,District of Columbia,6.2
2008-07-31,District of Columbia,6.4
2008-08-31,District of Columbia,6.6
2008-09-30,District of Columbia,6.8
2008-10-31,District of Columbia,7.1
2008-11-30,District of Columbia,7.4
2008-12-31,District of Columbia,7.8
2009-01-31,District of Columbia,8.1
2009-02-28,District of Columbia,8.4
2009-03-31,District of Columbia,8.6
2009-04-30,District of Columbia,8.9
2009-05-31,District of Columbia,9.1
2009-06-30,District of Columbia,9.3
2009-07-31,District of Columbia,9.6
2009-08-31,District of Columbia,9.8
2009-09-30,District of Columbia,9.9
2009-10-31,District of Columbia,10
2009-11-30,District of Columbia,10
2009-12-31,District of Columbia,10
2010-01-31,District of Columbia,9.8
2010-02-28,District of Columbia,9.7
2010-03-31,District of Columbia,9.5
2010-04-30,District of Columbia,9.4
2010-05-31,District of Columbia,9.3
2010-06-30,District of Columbia,9.2
2010-07-31,District of Columbia,9.2
2010-08-31,District of Columbia,9.2
2010-09-30,District of Columbia,9.3
2010-10-31,District of Columbia,9.3
2010-11-30,District of Columbia,9.4
2010-12-31,District of Columbia,9.5
2011-01-31,District of Columbia,9.6
2011-02-28,District of Columbia,9.8
2011-03-31,District of Columbia,10
2011-04-30,District of Columbia,10.2
2011-05-31,District of Columbia,10.4
2011-06-30,District of Columbia,10.5
2011-07-31,District of Columbia,10.4
2011-08-31,District of Columbia,10.4
2011-09-30,District of Columbia,10.2
2011-10-31,District of Columbia,10.1
2011-11-30,District of Columbia,10
2011-12-31,District of Columbia,9.9
2012-01-31,District of Columbia,9.7
2012-02-29,District of Columbia,9.6
2012-03-31,District of Columbia,9.4
2012-04-30,District of Columbia,9.3
2012-05-31,District of Columbia,9.1
2012-06-30,District of Columbia,8.9
2012-07-31,District of Columbia,8.8
2012-08-31,District of Columbia,8.7
2012-09-30,District of Columbia,8.7
2012-10-31,District of Columbia,8.7
2012-11-30,District of Columbia,8.7
2012-12-31,District of Columbia,8.7
2013-01-31,District of Columbia,8.7
2013-02-28,District of Columbia,8.7
2013-03-31,District of Columbia,8.7
2013-04-30,District of Columbia,8.7
2013-05-31,District of Columbia,8.6
2013-06-30,District of Columbia,8.6
2013-07-31,District of Columbia,8.5
2013-08-31,District of Columbia,8.5
2013-09-30,District of Columbia,8.4
2013-10-31,District of Columbia,8.3
2013-11-30,District of Columbia,8.1
2013-12-31,District of Columbia,8
2014-01-31,District of Columbia,7.9
2014-02-28,District of Columbia,7.9
2014-03-31,District of Columbia,7.8
2014-04-30,District of Columbia,7.8
2014-05-31,District of Columbia,7.8
2014-06-30,District of Columbia,7.8
2014-07-31,District of Columbia,7.8
2014-08-31,District of Columbia,7.8
2014-09-30,District of Columbia,7.7
2014-10-31,District of Columbia,7.7
2014-11-30,District of Columbia,7.6
2014-12-31,District of Columbia,7.5
2015-01-31,District of Columbia,7.5
2015-02-28,District of Columbia,7.4
2015-03-31,District of Columbia,7.2
2015-04-30,District of Columbia,7.1
2015-05-31,District of Columbia,7
2015-06-30,District of Columbia,6.9
2015-07-31,District of Columbia,6.8
2015-08-31,District of Columbia,6.7
2015-09-30,District of Columbia,6.6
2015-10-31,District of Columbia,6.5
2015-11-30,District of Columbia,6.5
2015-12-31,District of Columbia,6.4
2016-01-31,District of Columbia,6.3
2016-02-29,District of Columbia,6.2
2016-03-31,District of Columbia,6.2
2016-04-30,District of Columbia,6.1
2016-05-31,District of Columbia,6.1
2016-06-30,District of Columbia,6.1
2016-07-31,District of Columbia,6
2016-08-31,District of Columbia,6
2016-09-30,District of Columbia,5.9
2016-10-31,District of Columbia,5.8
2016-11-30,District of Columbia,5.8
2016-12-31,District of Columbia,5.7
2017-01-31,District of Columbia,5.7
2017-02-28,District of Columbia,5.7
2017-03-31,District of Columbia,5.8
2017-04-30,District of Columbia,5.9
2017-05-31,District of Columbia,6
2017-06-30,District of Columbia,6.1
2017-07-31,District of Columbia,6.4
2017-08-31,District of Columbia,6.4
2017-09-30,District of Columbia,6.5
2017-10-31,District of Columbia,6.6
2017-11-30,District of Columbia,6.4
2017-12-31,District of Columbia,6
1996-04-30,Massachusetts,4.6
1996-05-31,Massachusetts,4.5
1996-06-30,Massachusetts,4.4
1996-07-31,Massachusetts,4.3
1996-08-31,Massachusetts,4.3
1996-09-30,Massachusetts,4.2
1996-10-31,Massachusetts,4.2
1996-11-30,Massachusetts,4.2
1996-12-31,Massachusetts,4.2
1997-01-31,Massachusetts,4.2
1997-02-28,Massachusetts,4.1
1997-03-31,Massachusetts,4.1
1997-04-30,Massachusetts,4.1
1997-05-31,Massachusetts,4
1997-06-30,Massachusetts,4
1997-07-31,Massachusetts,3.9
1997-08-31,Massachusetts,3.8
1997-09-30,Massachusetts,3.8
1997-10-31,Massachusetts,3.7
1997-11-30,Massachusetts,3.6
1997-12-31,Massachusetts,3.6
1998-01-31,Massachusetts,3.5
1998-02-28,Massachusetts,3.4
1998-03-31,Massachusetts,3.4
1998-04-30,Massachusetts,3.3
1998-05-31,Massachusetts,3.3
1998-06-30,Massachusetts,3.2
1998-07-31,Massachusetts,3.2
1998-08-31,Massachusetts,3.2
1998-09-30,Massachusetts,3.2
1998-10-31,Massachusetts,3.2
1998-11-30,Massachusetts,3.2
1998-12-31,Massachusetts,3.2
1999-01-31,Massachusetts,3.2
1999-02-28,Massachusetts,3.2
1999-03-31,Massachusetts,3.2
1999-04-30,Massachusetts,3.2
1999-05-31,Massachusetts,3.2
1999-06-30,Massachusetts,3.2
1999-07-31,Massachusetts,3.2
1999-08-31,Massachusetts,3.2
1999-09-30,Massachusetts,3.2
1999-10-31,Massachusetts,3.2
1999-11-30,Massachusetts,3.1
1999-12-31,Massachusetts,3
2000-01-31,Massachusetts,3
2000-02-29,Massachusetts,2.8
2000-03-31,Massachusetts,2.8
2000-04-30,Massachusetts,2.7
2000-05-31,Massachusetts,2.6
2000-06-30,Massachusetts,2.6
2000-07-31,Massachusetts,2.6
2000-08-31,Massachusetts,2.6
2000-09-30,Massachusetts,2.6
2000-10-31,Massachusetts,2.6
2000-11-30,Massachusetts,2.7
2000-12-31,Massachusetts,2.8
2001-01-31,Massachusetts,2.9
2001-02-28,Massachusetts,3
2001-03-31,Massachusetts,3.2
2001-04-30,Massachusetts,3.3
2001-05-31,Massachusetts,3.5
2001-06-30,Massachusetts,3.6
2001-07-31,Massachusetts,3.8
2001-08-31,Massachusetts,3.9
2001-09-30,Massachusetts,4.1
2001-10-31,Massachusetts,4.3
2001-11-30,Massachusetts,4.5
2001-12-31,Massachusetts,4.7
2002-01-31,Massachusetts,4.8
2002-02-28,Massachusetts,5
2002-03-31,Massachusetts,5.1
2002-04-30,Massachusetts,5.2
2002-05-31,Massachusetts,5.3
2002-06-30,Massachusetts,5.3
2002-07-31,Massachusetts,5.4
2002-08-31,Massachusetts,5.4
2002-09-30,Massachusetts,5.5
2002-10-31,Massachusetts,5.5
2002-11-30,Massachusetts,5.5
2002-12-31,Massachusetts,5.6
2003-01-31,Massachusetts,5.6
2003-02-28,Massachusetts,5.6
2003-03-31,Massachusetts,5.7
2003-04-30,Massachusetts,5.7
